Epoch (microseconds)	rightPos_j0	rightPos_j1	rightPos_j2	rightPos_j3	rightPos_j4	rightPos_j5	rightPos_j6	leftPos_j0	leftPos_j1	leftPos_j2	leftPos_j3	leftPos_j4	leftPos_j5	leftPos_j6	Side

0, 0.604494, -0.0537564, -0.95977, -0.236741, -0.348597, -0.0869129, -0.325996, -0.293342, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57815, 1.2572, R

1659, 0.604494, -0.0537564, -0.95977, -0.236741, -0.348597, -0.0869129, -0.325996, -0.293342, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57815, 1.2572, R

2759, 0.604494, -0.0537564, -0.95977, -0.236741, -0.348597, -0.0869129, -0.325996, -0.293342, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57815, 1.2572, R

3791, 0.604494, -0.0537564, -0.959636, -0.236751, -0.3486, -0.0869129, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57815, 1.2572, R

4898, 0.604494, -0.0537564, -0.959636, -0.236751, -0.3486, -0.0869129, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57815, 1.2572, R

5935, 0.604494, -0.0537564, -0.959636, -0.236751, -0.3486, -0.0869129, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57815, 1.2572, R

7601, 0.604494, -0.0537564, -0.959636, -0.236751, -0.3486, -0.0869129, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57815, 1.2572, R

8652, 0.604494, -0.0537564, -0.959518, -0.236754, -0.3486, -0.0869129, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57815, 1.25717, R

9657, 0.604494, -0.0537564, -0.959518, -0.236754, -0.3486, -0.0869129, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57815, 1.25717, R

10724, 0.604494, -0.0537564, -0.959518, -0.236754, -0.3486, -0.0869129, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57815, 1.25717, R

13001, 0.604497, -0.0537564, -0.959374, -0.23676, -0.3486, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.25717, R

14007, 0.604497, -0.0537564, -0.959374, -0.23676, -0.3486, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.25717, R

15017, 0.604497, -0.0537564, -0.959374, -0.23676, -0.3486, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.25717, R

16087, 0.604497, -0.0537564, -0.959374, -0.23676, -0.3486, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.25717, R

17987, 0.604497, -0.0537564, -0.959227, -0.236773, -0.348604, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.2572, R

19010, 0.604497, -0.0537564, -0.959227, -0.236773, -0.348604, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.2572, R

20027, 0.604497, -0.0537564, -0.959227, -0.236773, -0.348604, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.2572, R

21062, 0.604497, -0.0537564, -0.959227, -0.236773, -0.348604, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.2572, R

22931, 0.6045, -0.0537564, -0.959096, -0.236783, -0.348607, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.2572, R

23954, 0.6045, -0.0537564, -0.959096, -0.236783, -0.348607, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.2572, R

24971, 0.6045, -0.0537564, -0.959096, -0.236783, -0.348607, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.2572, R

26008, 0.6045, -0.0537564, -0.959096, -0.236783, -0.348607, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.2572, R

27750, 0.6045, -0.0537564, -0.958965, -0.236792, -0.34861, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.25722, R

28788, 0.6045, -0.0537564, -0.958965, -0.236792, -0.34861, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.25722, R

29825, 0.6045, -0.0537564, -0.958965, -0.236792, -0.34861, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.25722, R

30834, 0.6045, -0.0537564, -0.958965, -0.236792, -0.34861, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.25722, R

33285, 0.6045, -0.0537564, -0.958843, -0.236802, -0.348616, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.25722, R

34319, 0.6045, -0.0537564, -0.958843, -0.236802, -0.348616, -0.0869053, -0.325996, -0.293339, 0.0862992, 0.00902812, -0.607325, -1.34941, 1.57814, 1.25722, R

